Año,Siniestros,Fallecidos,Lesionados - Graves,Lesionados - Menos graves,Lesionados - Leves,Total lesionados,Total víctimas,Tasa motorización,Vehículos cada 100 habitantes,Parque vehicular,Población,Indicadores cada 10.000 vehículos - Siniestralidad,Indicadores cada 10.000 vehículos - Mortalidad,Indicadores cada 10.000 vehículos - Morbilidad,Indicadores cada 100.000 habitantes - Siniestralidad,Indicadores cada 100.000 habitantes - Mortalidad,Indicadores cada 100.000 habitantes - Morbilidad,Fallecidos cada 100 siniestros,Siniestros por cada fallecido
1972,26727.0,1792.0,6.59,5.624,11027.0,23241.0,25033.0,24.7,4.0,401114.0,9907065.0,666.32,44.68,579.41,269.78,18.09,234.59,6.7,14.91
1973,23480.0,1719.0,6.02,5.153,10079.0,21252.0,22971.0,24.1,4.1,417767.0,10075782.0,562.04,41.15,508.7,233.03,17.06,210.92,7.32,13.66
1974,18356.0,1269.0,4.935,3.763,7938.0,16636.0,17905.0,23.8,4.2,431172.0,10244501.0,425.72,29.43,385.83,179.18,12.39,162.39,6.91,14.46
1975,16602.0,1054.0,4.208,3.479,7142.0,14829.0,15883.0,23.4,4.3,445693.0,10413219.0,372.5,23.65,332.72,159.43,10.12,142.41,6.35,15.75
1976,17716.0,1079.0,4.322,3.456,7355.0,15133.0,16212.0,22.7,4.4,466049.0,10565409.0,380.13,23.15,324.71,167.68,10.21,143.23,6.09,16.42
1977,19638.0,1071.0,4.566,4.125,7961.0,16652.0,17723.0,20.8,4.8,514180.0,10717600.0,381.93,20.83,323.86,183.23,9.99,155.37,5.45,18.34
1978,19623.0,1207.0,5.397,4.316,9424.0,19137.0,20344.0,18.4,5.4,589788.0,10869791.0,332.71,20.46,324.47,180.53,11.1,176.06,6.15,16.26
1979,21506.0,1309.0,5.961,5.397,10386.0,21744.0,23053.0,18.1,5.5,608630.0,11021982.0,353.35,21.51,357.26,195.12,11.88,197.28,6.09,16.43
1980,25606.0,1434.0,6.287,5.925,11993.0,24205.0,25639.0,14.0,7.1,797180.0,11174173.0,321.21,17.99,303.63,229.15,12.83,216.62,5.6,17.86
1981,33536.0,1552.0,6.895,6.927,15031.0,28853.0,30405.0,13.2,7.6,863038.0,11359773.0,388.58,17.98,334.32,295.22,13.66,253.99,4.63,21.61
1982,55272.0,1274.0,7.532,8.579,17870.0,33981.0,35255.0,12.6,7.9,912749.0,11545372.0,605.56,13.96,372.29,478.74,11.03,294.33,2.3,43.38
1983,47889.0,1363.0,7.338,7.506,16338.0,31182.0,32545.0,12.8,7.8,916360.0,11730972.0,522.6,14.87,340.28,408.23,11.62,265.81,2.85,35.13
1984,39207.0,1210.0,7.128,7.352,15351.0,29831.0,31041.0,12.8,7.8,930457.0,11916572.0,421.37,13.0,320.61,329.01,10.15,250.33,3.09,32.4
1985,30751.0,1049.0,4.421,4.106,11767.0,20294.0,21343.0,12.8,7.8,944564.0,12102174.0,325.56,11.11,214.85,254.09,8.67,167.69,3.41,29.31
1986,35268.0,1191.0,4.794,4.832,14359.0,23985.0,25176.0,12.8,7.8,962564.0,12317494.0,366.4,12.37,249.18,286.32,9.67,194.72,3.38,29.61
1987,32790.0,1198.0,4.99,4.946,14735.0,24671.0,25869.0,12.9,7.8,972042.0,12532815.0,337.33,12.32,253.81,261.63,9.56,196.85,3.65,27.37
1988,34226.0,1248.0,5.564,5.147,16547.0,27258.0,28506.0,12.9,7.7,985843.0,12748135.0,347.17,12.66,276.49,268.48,9.79,213.82,3.65,27.42
1989,37217.0,1465.0,6.217,5.768,19439.0,31424.0,32889.0,12.7,7.9,1018255.0,12963457.0,365.5,14.39,308.61,287.09,11.3,242.4,3.94,25.4
1990,39479.0,1587.0,6.788,6.326,21391.0,34505.0,36092.0,12.3,8.2,1074228.0,13178782.0,367.51,14.77,321.21,299.56,12.04,261.82,4.02,24.88
1991,40368.0,1602.0,7.295,6.461,22618.0,36374.0,37976.0,11.4,8.7,1174194.0,13422010.0,343.79,13.64,309.78,300.76,11.94,271.0,3.97,25.2
1992,43402.0,1700.0,7.983,7.215,25145.0,40343.0,42043.0,10.1,9.9,1356503.0,13665241.0,319.96,12.53,297.4,317.61,12.44,295.22,3.92,25.53
1993,44837.0,1760.0,8.298,7.151,26334.0,41783.0,43543.0,9.4,10.6,1476128.0,13908473.0,303.75,11.92,283.06,322.37,12.65,300.41,3.93,25.48
1994,44236.0,1762.0,8.231,7.207,26208.0,41646.0,43408.0,9.4,10.7,1508957.0,14151708.0,293.16,11.68,275.99,312.58,12.45,294.28,3.98,25.11
1995,50790.0,1890.0,8.83,8.017,28982.0,45829.0,47719.0,8.6,11.7,1678675.0,14394940.0,302.56,11.26,273.01,352.83,13.13,318.37,3.72,26.87
1996,57775.0,1925.0,9.615,8.508,32436.0,50559.0,52484.0,8.0,12.5,1826137.0,14595504.0,316.38,10.54,276.86,395.84,13.19,346.4,3.33,30.01
